City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
220,Amahai,ID,77.23,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
221,Olga,RU,69.87,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
222,Puro,PH,80.4,broken clouds,12.4841,123.3827,
224,Saint-Dizier,FR,67.6,broken clouds,48.4167,5.0833,Le Val du Roy - Chambres d'hôtes
225,Bose,IT,80.19,light rain,45.4612,8.0137,Locanda Borgo Antico
226,Sale,MA,74.08,clear sky,34.0389,-6.8166,Hôtel Mercure Rabat Sheherazade
227,Basco,PH,84.72,broken clouds,20.4487,121.9702,Nathaniel's Lodge
228,Taltal,CL,60.94,scattered clouds,-25.4,-70.4833,Residencial Karime
229,Maku,IR,69.67,clear sky,39.2911,44.4521,Maku Tourist Hotel
231,Ca Mau,VN,77.63,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
233,Thinadhoo,MV,77.67,overcast clouds,0.5333,72.9333,
235,Klyuchi,RU,66.85,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
237,Novyy Nekouz,RU,62.83,few clouds,57.9029,38.07,
238,Kirkkonummi,FI,65.05,scattered clouds,60.1238,24.4385,Karhukolo
239,Hesla,IN,78.04,overcast clouds,24.0667,85.8833,Chetlal Residence
240,La Ronge,CA,64.62,broken clouds,55.1001,-105.2842,Northland Motor Hotel
241,Lahti,RU,64.58,overcast clouds,59.9911,30.1597,Olgino Hotel
245,Bonavista,CA,65.37,overcast clouds,48.6499,-53.1147,Sweet Sharons bnb
250,Mahebourg,MU,68.29,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
251,Halifax,CA,80.49,scattered clouds,44.6453,-63.5724,Hotel Halifax
252,Huron,US,79.97,overcast clouds,41.1501,-82.5499,Meadow Brook Mobile Estates
255,Nemuro,JP,64.11,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
259,Kavaratti,IN,81.37,overcast clouds,10.5669,72.642,Green leaf
260,Tukrah,LY,78.91,clear sky,32.5341,20.5791,Lagrota restaurant
262,Fare,PF,77.14,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
264,Yenagoa,NG,74.91,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
267,Kaili,ID,66.79,overcast clouds,-3.4626,120.2147,
268,Zhenlai,CN,71.73,overcast clouds,45.8495,123.2973,
270,Bambous Virieux,MU,68.25,light rain,-20.3428,57.7575,Casa Tia Villa
273,Kudahuvadhoo,MV,81.73,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
274,Maldonado,UY,63.79,overcast clouds,-34.6667,-54.9167,La Cimarrona
277,Sitka,US,60.69,overcast clouds,57.0531,-135.33,Westmark Sitka
278,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
280,Kulgam,IN,66.6,overcast clouds,33.65,75.0167,Noor bagh kulgam
281,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
282,Preobrazheniye,RU,71.76,overcast clouds,42.9019,133.9064,Campsite Orlan
283,Chute-Aux-Outardes,CA,69.78,few clouds,49.1168,-68.399,Camp St-Paul Gite Plein-Air
286,Buta,CD,70.75,overcast clouds,2.7858,24.73,Hôtel BOPANDO
287,Matveyev Kurgan,RU,63.81,scattered clouds,47.5645,38.8695,Korona
290,Nago,JP,81.45,few clouds,26.5881,127.9761,Hotel Yugaf Inn Okinawa
291,Taywarah,AF,65.88,broken clouds,33.35,64.4167,
292,Kamenskiy,RU,64.58,light rain,50.8855,45.488,
293,Bay Roberts,CA,73.15,overcast clouds,47.5999,-53.2648,Stonewall Inn
296,Biak,ID,75.15,moderate rain,-0.9131,122.8766,Penginapan Kim
298,Jinka,ET,67.96,broken clouds,5.65,36.65,
299,Shubarkuduk,KZ,69.08,few clouds,49.1447,56.4872,Sirius
300,Vila Franca Do Campo,PT,73.81,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
301,Olinda,BR,73.13,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
302,Yambio,SS,68.32,light rain,4.5721,28.3955,Naivasha Hotel
304,Akdepe,TM,78.89,clear sky,42.0551,59.3788,
305,Fairmont,US,73.38,overcast clouds,39.4851,-80.1426,Clarion Inn
307,Tual,ID,78.96,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
310,Faanui,PF,77.67,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
311,Baculin,PH,78.15,broken clouds,7.4525,126.5842,Baculin Cove Beach Resort
312,Yalova,TR,74.34,clear sky,40.655,29.2769,Grand Otel Karot Yalova
313,Visby,SE,62.82,scattered clouds,57.6409,18.296,Best Western Solhem Hotel Visby
314,Lookan,PH,82.36,overcast clouds,5.037,120.1027,
315,Umuahia,NG,72.86,light rain,5.5263,7.4896,Hotel Macbek Limited
316,Dali,CN,61.09,overcast clouds,25.7,100.1833,Dali Travelling With Hostel
317,Hamilton,US,78.24,haze,39.1834,-84.5333,Six Acres Bed & Breakfast
