City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Alice Springs,AU,-23.7,133.8833,27.95,93,0,0.0,clear sky
174,Lukovetskiy,RU,64.2956,41.9211,56.91,86,71,5.26,broken clouds
175,Matara,LK,5.9485,80.5353,76.89,91,92,5.93,overcast clouds
176,Husavik,IS,66.0449,-17.3389,53.19,79,99,4.7,overcast clouds
177,Rio Gallegos,AR,-51.6226,-69.2181,26.65,86,0,5.75,clear sky
178,Huckelhoven,DE,51.05,6.2167,64.9,76,40,3.0,scattered clouds
179,Kilindoni,TZ,-7.9139,39.6668,75.67,77,58,15.12,broken clouds
180,Bamiantong,CN,44.9333,130.5333,71.53,90,15,1.41,few clouds
181,Xinxiang,CN,35.3089,113.8672,75.38,82,8,4.81,clear sky
182,Moosomin,CA,50.1333,-101.6677,69.39,52,92,11.1,overcast clouds
183,Kalmunai,LK,7.4167,81.8167,79.47,82,100,3.83,overcast clouds
184,Itaguai,BR,-22.8522,-43.7753,71.49,83,40,5.75,scattered clouds
185,Abu Dhabi,AE,24.4667,54.3667,95.02,51,0,10.36,clear sky
186,Bronnoysund,NO,65.4625,12.1997,53.6,94,75,20.0,drizzle rain
187,Ocumare Del Tuy,VE,10.1165,-66.7761,81.81,70,5,2.68,clear sky
188,Moose Factory,CA,51.2585,-80.6094,64.4,77,0,14.97,clear sky
189,Wattegama,LK,6.7989,81.4808,75.69,92,98,2.26,overcast clouds
190,Baruun-Urt,MN,46.6806,113.2792,58.06,79,20,4.05,few clouds
191,Pulaski,US,34.7668,-92.3001,102.31,38,40,16.11,scattered clouds
192,Cockburn Town,TC,21.4612,-71.1419,82.45,79,3,18.72,clear sky
193,Torbay,CA,47.6666,-52.7314,72.37,85,75,17.27,broken clouds
194,Koslan,RU,63.4564,48.8989,52.68,60,59,3.91,broken clouds
195,Port Elizabeth,ZA,-33.918,25.5701,61.32,75,0,9.22,clear sky
196,Namibe,AO,-15.1961,12.1522,63.39,80,80,3.13,broken clouds
197,Touros,BR,-5.1989,-35.4608,75.83,80,34,12.62,scattered clouds
198,Maua,BR,-23.6678,-46.4614,64.2,86,7,6.69,clear sky
199,Sembakung,ID,3.8167,117.25,72.23,99,90,2.21,overcast clouds
200,Vredendal,ZA,-31.6683,18.5012,57.27,79,88,5.61,overcast clouds
201,Rocha,UY,-34.4833,-54.3333,61.38,96,98,4.56,overcast clouds
202,Cayenne,GF,4.9333,-52.3333,80.1,1,75,5.75,broken clouds
203,Tanete,ID,-3.9443,119.7848,74.48,94,94,6.4,overcast clouds
204,Ronda,ES,36.7423,-5.1671,73.62,36,0,4.61,clear sky
205,Isangel,VU,-19.55,169.2667,77.11,78,98,3.44,overcast clouds
206,Coruripe,BR,-10.1256,-36.1756,73.78,82,99,13.04,overcast clouds
207,Upernavik,GL,72.7868,-56.1549,38.17,89,85,10.83,overcast clouds
208,Saldanha,ZA,-33.0117,17.9442,53.65,88,11,7.61,few clouds
209,Saint George,US,37.1041,-113.5841,95.43,36,0,4.61,clear sky
